uid,kind,domain,task,service,unit,title,must_teach,qualifier,distractor_angles,difficulty,priority,status,existing_uid,gap_note,batch
aws-root-user-hardening-mcq-01,mcq,D1,1.1,IAM,S: best practices for IAM users and root users (MFA),Audit finds root has access keys and no MFA - most secure remediation,"Correct: enable hardware/virtual MFA on root, delete the root access keys, and move daily work to Identity Center/roles. Root cannot be limited by IAM policies; only an SCP limits root in member accounts.",most-secure,"attach a restrictive IAM policy to root (violates: IAM policies do not apply to root); rotate the root access keys (right idea, wrong control - keys should not exist); create an admin IAM user with long-lived keys instead (violates best practice); enable CloudTrail alarms only (detective, not preventive)",1,P0,new,,,B2.1 P0 新卡
aws-scp-restrict-regions-mcq-10,mcq,D1,1.1,AWS Organizations,"S: security strategy for multiple accounts (Control Tower, SCPs)","Stop member accounts creating resources outside eu-west-1, global services intact","Correct: SCP on the root/OU that denies actions when aws:RequestedRegion is not eu-west-1, with NotAction excluding global services (IAM, Organizations, Route 53, CloudFront, STS, Support). Control Tower's Region deny control is this SCP under the hood.",least-ops,"IAM policy in each account (admins can edit it; does not bind root); Config rule flagging non-EU resources (detective only); Service Quotas set to zero in other Regions (not possible for all services); disable other Regions in each account (opt-in Regions only, not the default ones)",2,P0,new,,,B2.1 P0 新卡
aws-service-principal-resource-policy-mcq-15,mcq,D1,1.1,Amazon SNS,S: appropriate use of resource policies,S3 in account A must publish to SNS/Lambda in account B - which policy,Correct: resource-based policy on the target (SNS topic policy / Lambda resource policy) allowing the s3.amazonaws.com service principal with aws:SourceAccount/aws:SourceArn conditions. Service principals do not assume roles for notifications.,least-change,identity policy attached to 'S3' (services have no identity policy); create a role that S3 assumes (event notifications do not use roles); SCP allowing cross-account SNS (SCPs never grant); Lambda execution role granting S3 access (wrong direction),2,P1,new,,,B4.1 P1 新卡
aws-third-party-cross-account-role-mcq-07,mcq,D1,1.1,IAM,"S: role-based access control strategy (STS, role switching, cross-account)",SaaS monitoring vendor needs read access to your account - most secure,Correct: cross-account IAM role with a trust policy naming the vendor account and a Condition on sts:ExternalId; vendor calls AssumeRole and gets temporary credentials.,most-secure,"create an IAM user and email access keys (long-lived keys); make the resources public with a resource policy (over-exposed); Identity Center user for the vendor (workforce tool, still a human login); trust the vendor account without external ID (confused deputy)",2,P0,new,,,B2.1 P0 新卡
aws-web-identity-federation-mobile-mcq-17,mcq,D1,1.1,Amazon Cognito,S: when to federate a directory service with IAM roles,Mobile users sign in with Google and must upload to their own S3 prefix - which federation,Correct: Cognito identity pool exchanging the Google token for temporary credentials of a role scoped with ${cognito-identity.amazonaws.com:sub} in the resource ARN. Identity Center and SAML-to-IAM are for workforce; IAM users per app user is wrong.,least-ops,"IAM Identity Center users for customers (workforce tool); SAML federation into IAM (enterprise IdP, not Google consumer); IAM user per customer (keys on devices); presigned URLs generated with a shared key baked into the app (credential leak)",2,P1,new,,,B4.1 P1 新卡
aws-control-tower-service,service,D1,1.1,AWS Control Tower,R2 service: AWS Control Tower,"Control Tower: landing zone, guardrails (controls), Account Factory","Control Tower builds a multi-account landing zone on Organizations: log archive and audit accounts, preventive controls (SCPs), detective controls (Config rules), proactive controls (CloudFormation hooks), and Account Factory for vending accounts. Choose it for a new multi-account setup with governance; choose plain Organizations when you already have a custom structure or need only SCPs.",,,1,P1,new,,,B4.4 P1 新卡
aws-directory-service,service,D1,1.1,AWS Directory Service,R2 service: AWS Directory Service,Directory Service: Managed Microsoft AD vs AD Connector vs Simple AD,"Managed Microsoft AD = real AD in AWS, supports trusts with on-prem AD, MFA via RADIUS, needed for FSx/RDS SQL Server/WorkSpaces at scale. AD Connector = proxy to on-prem AD, no data in the cloud, needs VPN/DX, no trust. Simple AD = Samba-based, small, no trust/MFA. Identity Center can use any of the first two as identity source.",,,2,P1,new,,,B4.4 P1 新卡
aws-iam-identity-center,service,D1,1.1,AWS IAM Identity Center,R2 service: AWS IAM Identity Center,IAM Identity Center: workforce SSO with permission sets across Organization accounts,"Identity Center is the successor to AWS SSO: connect an identity source (its own store, Managed AD/AD Connector, or an external SAML/SCIM IdP), assign permission sets (which become roles in each account) to users/groups, and give people one access portal and CLI SSO. Choose it over IAM users or per-account SAML for any multi-account workforce.",,,1,P1,exists,aws-iam-identity-center,,—
aws-iam-service,service,D1,1.1,IAM,R2 service: IAM,"IAM: global identity service - users, groups, roles, policy types, evaluation logic, ABAC","IAM is global and free: users (humans with passwords/keys, avoid), groups (attach policies to many users), roles (assumed by services, federated identities or other accounts; temporary credentials), and policies (identity-based, resource-based, permissions boundaries, SCPs, session policies). Evaluation: explicit deny > SCP/boundary allow needed > explicit allow; default deny. Tag conditions enable ABAC.",,,1,P0,partial,aws-iam-roles-vs-users,"Live card covers only roles vs users; the service card must give the full object model, policy types and the evaluation summary.",B3 修补 partial 卡（补角度/补 usage/改难度）
aws-organizations-service,service,D1,1.1,AWS Organizations,R2 service: AWS Organizations,"Organizations: OUs, SCPs, consolidated billing, delegated administrators","Organizations gives one management account, OUs, SCPs, consolidated billing with shared RI/Savings Plan discounts and volume tiers, and delegated admin for services like GuardDuty and Security Hub. Management account is exempt from SCPs; SCPs filter but never grant; all-features mode is required for SCPs and tag policies.",,,1,P0,partial,aws-organizations-scp,"Live card covers SCP evaluation only; the service card must add OUs, billing benefits, delegated admin, all-features mode.",B3 修补 partial 卡（补角度/补 usage/改难度）
aws-resource-access-manager,service,D1,1.1,AWS Resource Access Manager (AWS RAM),R2 service: AWS Resource Access Manager (AWS RAM),"RAM: share subnets, Transit Gateways, Route 53 Resolver rules, licenses across accounts","RAM shares resources (VPC subnets, TGW, Resolver rules, License Manager configs, Outposts) with accounts or OUs so resources exist once; sharing within an Organization needs no acceptance. Choose it over duplicating VPCs; it does not share S3 buckets or IAM roles (those use resource policies).",,,1,P1,exists,aws-resource-access-manager,,—
aws-federated-access-concept,concept,D1,1.1,AWS IAM Identity Center,"K: AWS federated access and identity services (IAM, IAM Identity Center)","Federation options: IAM SAML/OIDC, Identity Center, Cognito - which identity for whom","Workforce users go through IAM Identity Center (SAML/SCIM from Okta/Entra/AD) or a SAML 2.0 provider in IAM (AssumeRoleWithSAML, single account); customer/app users go through Cognito (AssumeRoleWithWebIdentity). In all cases the identity ends up in an IAM role with temporary STS credentials - no IAM users are created for federated people.",,,2,P1,partial,aws-iam-identity-center,Live card covers Identity Center for multi-account SSO only; missing the IAM SAML provider path for a single account and the Cognito path for customer identities.,B3 修补 partial 卡（补角度/补 usage/改难度）
aws-global-infrastructure-security-concept,concept,D1,1.1,-,"K: AWS global infrastructure (Availability Zones, Regions)","Regions, AZs and edge as security and residency boundaries","A Region is the data-residency boundary: data never leaves it unless you replicate it; AZs are isolated fault domains inside it. IAM, Organizations, Route 53, CloudFront and WAF (for CloudFront) are global; KMS keys, ACM certificates, VPCs and most resources are Regional. To pin a company to one Region, use an SCP with aws:RequestedRegion, not IAM policies per account.",,,1,P1,new,,"absorbs aws-regions-data-residency: Same D1 content: Region is the residency boundary, list of global services, SCP",B4.5 P1 新卡
aws-multi-account-access-management,concept,D1,1.1,AWS Organizations,K: Access controls and management across multiple accounts,"Layers of multi-account access control: OU/SCP, cross-account roles, Identity Center, RAM","Four layers stack: Organizations OUs carry SCPs (guardrails, never grants), cross-account IAM roles carry the actual permissions, IAM Identity Center hands humans permission sets in every account, and RAM shares resources (subnets, TGW) without copying them. Rule: prevent with SCP, grant with roles, share with RAM.",,,2,P1,partial,aws-organizations-scp,Live card only explains SCP evaluation; the concept card must lay out the four layers and which one to reach for per requirement.,B3 修补 partial 卡（补角度/补 usage/改难度）
aws-security-best-practices-concept,concept,D1,1.1,IAM,K: AWS security best practices (principle of least privilege),"The exam's security-best-practice checklist: roles over keys, MFA, least privilege, audit","Checklist the exam expects: lock and MFA the root user with no access keys; humans sign in through Identity Center, workloads use roles (instance profiles, task roles, execution roles), never embedded keys; grant least privilege with conditions; rotate credentials; log everything with CloudTrail; encrypt by default. Whenever an option mentions long-lived access keys on a server, it is the wrong option.",,,1,P0,partial,aws-iam-roles-vs-users,"Live card covers only role-vs-user for EC2; the concept card must add root hardening, MFA, rotation, CloudTrail, and the 'access keys in an option = wrong' heuristic.",B3 修补 partial 卡（补角度/补 usage/改难度）
aws-shared-responsibility-model,concept,D1,1.1,-,K: The AWS shared responsibility model,"Shared responsibility: OF the cloud vs IN the cloud, and how the line moves by service","AWS secures the infrastructure (hardware, facilities, hypervisor, managed-service patching); the customer secures what they put in it (data, IAM, OS patching on EC2, security groups, encryption choices). The line moves: on EC2 you patch the OS, on RDS AWS patches the engine but you set encryption and access, on Lambda/S3 you own only data, code and permissions.",,,1,P1,new,,,B4.5 P1 新卡
aws-iam-access-analyzer-credential-report,pattern,D1,1.1,IAM,R3 pattern: IAM Access Analyzer and credential report,"Access Analyzer (external/unused access, policy checks) vs IAM credential report","Access Analyzer finds resources reachable from outside the zone of trust (S3, KMS, roles, SQS, secrets...) and unused roles/keys and validates/generates policies; the credential report is a CSV of every IAM user's password/key age and MFA state.",,,1,P1,exists,aws-iam-access-analyzer-credential-report,,—
aws-iam-permissions-boundary,pattern,D1,1.1,IAM,R3 pattern: permissions boundaries,Permissions boundaries: let developers create roles without escalating privilege,A permissions boundary is a managed policy that caps the maximum permissions of a user or role; combine with iam:PermissionsBoundary condition so developers can only create roles that carry the boundary. It never grants; it is the per-identity twin of an SCP.,,,3,P1,exists,aws-iam-permissions-boundary,,—
aws-iam-policy-evaluation-explicit-deny,pattern,D1,1.1,IAM,R3 pattern: IAM policy evaluation logic,"Policy evaluation: explicit deny, SCP, boundary, session, allow, default deny","Every request is denied by default; an explicit Deny anywhere wins; then SCPs, permissions boundaries and session policies must allow; then an identity-based or (same-account) resource-based Allow is needed. AdministratorAccess cannot override an SCP deny.",,,2,P1,exists,aws-iam-policy-evaluation-explicit-deny,,—
aws-iam-policy-types-pattern,pattern,D1,1.1,IAM,"R3 pattern: IAM users, groups, roles, and policies",The six policy types and which question each answers,"Identity-based (what can this principal do), resource-based (who can touch this resource; enables cross-account without a role), permissions boundary (cap on an identity), SCP (cap on an account), session policy (cap on one AssumeRole session), ACL (legacy S3). Effective permission = intersection of all caps AND (identity OR resource allow), minus any explicit deny.",,,2,P0,partial,aws-iam-policy-evaluation-explicit-deny,Live card covers evaluation order with SCP; missing the six-type taxonomy and the cap-vs-grant distinction.,B3 修补 partial 卡（补角度/补 usage/改难度）
aws-least-privilege-pattern,pattern,D1,1.1,IAM,R3 pattern: the principle of least privilege,"Least privilege: deny by default, scope ARNs and conditions, prune with Access Analyzer","Start with no permissions, grant specific actions on specific ARNs with conditions (source VPC, tags, MFA), avoid wildcards and AdministratorAccess, and prune with IAM Access Analyzer policy generation and last-accessed data. Option-scanning rule: the answer that names exact actions/resources beats the one that attaches a broad managed policy.",,,1,P0,new,,,B2.5 P0 新卡
aws-mfa-pattern,pattern,D1,1.1,IAM,R3 pattern: multi-factor authentication [MFA],"MFA: device types, enforcing it on root and users, aws:MultiFactorAuthPresent, MFA delete","MFA types: virtual TOTP, FIDO security key, hardware TOTP. Root and every IAM user should have it; enforce it on API actions with a Condition on aws:MultiFactorAuthPresent (trap: roles used by services have no MFA context, so do not put that condition in SCPs that also hit workloads); S3 MFA delete needs the root user and CLI. Identity Center and Cognito bring their own MFA.",,,2,P0,new,,,B2.5 P0 新卡
aws-organizations-scp,pattern,D1,1.1,AWS Organizations,R3 pattern: service control policies [SCPs],"SCPs: guardrails that cap, never grant; inheritance through OUs; management account exempt","SCPs apply to every principal in member accounts including root; they filter (deny-list or allow-list) but grant nothing, inherit down the OU tree, and never affect the management account or service-linked roles. A user still needs an IAM allow.",,,2,P1,exists,aws-organizations-scp,,—
aws-s3-bucket-policy-vs-iam-policy,pattern,D1,1.1,Amazon S3,R3 pattern: resource policies for AWS services,Resource-based policies: bucket policy plus identity policy for cross-account access,Cross-account S3 access needs the bucket owner's bucket policy to allow the foreign principal and the caller's identity policy to allow the action; same-account access needs either. Object Ownership 'bucket owner enforced' removes ACL surprises.,,,2,P1,exists,aws-s3-bucket-policy-vs-iam-policy,,—
aws-sts-assume-role-cross-account,pattern,D1,1.1,IAM,R3 pattern: cross-account access,"Cross-account roles: trust policy, external ID for third parties, no shared keys","Create a role in the resource account whose trust policy names the partner account (and an ExternalId to prevent the confused deputy), and let the partner AssumeRole; never hand out IAM user keys. Same pattern for your own accounts without the external ID.",,,2,P1,exists,aws-sts-assume-role-cross-account,absorbs aws-role-switching-pattern: Two-allow rule (trust policy + sts:AssumeRole identity allow) is the live cross-,—
aws-sts-temporary-credentials,pattern,D1,1.1,IAM,R3 pattern: AWS STS,"STS APIs and session rules: AssumeRole variants, GetSessionToken, durations","STS issues temporary credentials: AssumeRole (roles, cross-account), AssumeRoleWithSAML (enterprise IdP), AssumeRoleWithWebIdentity (Cognito/OIDC), GetSessionToken (MFA-protected calls for IAM users), GetFederationToken (legacy broker). Sessions last 15 minutes to 12 hours (role MaxSessionDuration), but role chaining is capped at 1 hour. Credentials cannot be revoked early except by a policy with aws:TokenIssueTime.",,,2,P0,partial,aws-sts-assume-role-cross-account,"Live card covers AssumeRole with external ID; missing the other STS APIs, duration limits, role-chaining cap and revocation trick.",B3 修补 partial 卡（补角度/补 usage/改难度）
aws-alb-only-public-tier-mcq-25,mcq,D1,1.2,Elastic Load Balancing,S: network segmentation strategies (public and private subnets),Web servers have public IPs; must not be reachable directly but still patch,"Correct: internet-facing ALB in public subnets, EC2 in private subnets without public IPs, egress for patches via NAT gateway (or SSM/patch endpoints). The instances keep working through the ALB.",most-secure,keep public IPs but tighten the SG to the ALB (still addressable); move instances to private subnets and add an IGW route (makes them public again); use Elastic IPs (still public); put instances in an isolated subnet with no NAT (breaks patching),2,P1,new,,,B4.1 P1 新卡
aws-block-single-ip-nacl-mcq-18,mcq,D1,1.2,Amazon VPC,"S: VPC architectures with security components (SG, route tables, NACLs, NAT)",One IP is attacking instances with public IPs (no ALB) - block it fastest,Correct: add a low-numbered Deny rule for that /32 to the subnet's NACL. Security groups cannot deny; WAF needs CloudFront/ALB/API Gateway in front; route tables act on destinations.,fastest,"security group deny rule (does not exist); WAF IP set (no supported resource in front); blackhole route (routes are destination based); Shield Advanced (DDoS, not one IP)",1,P0,new,,,B2.1 P0 新卡
aws-client-vpn-remote-workforce-mcq-33,mcq,D1,1.2,AWS Client VPN,"S: securing external network connections (VPN, Direct Connect)",Remote employees need access to private VPC apps with AD credentials and MFA - least ops,"Correct: AWS Client VPN endpoint with Active Directory (or SAML/Identity Center) authentication, MFA, and authorization rules per group; associated with private subnets.",least-ops,"Site-to-Site VPN from each home (site, not user); bastion host with public SSH and keys (violates best practice); Direct Connect to each employee (impossible); Session Manager only (shell to EC2, not general app access)",1,P2,new,,,B5.1 P2 长尾
aws-db-password-rotation-no-code-mcq-28,mcq,D1,1.2,AWS Secrets Manager,"S: integrating AWS services to secure applications (Shield, WAF, Identity Center, Secrets Manager)",RDS password must rotate every 30 days with no custom code - least ops,"Correct: Secrets Manager with managed rotation for RDS (built-in Lambda rotator); app fetches the secret at runtime via its role. Parameter Store has no native rotation; KMS stores keys, not secrets.",least-ops,"Parameter Store SecureString with a scheduled Lambda you write (custom code); store in KMS (KMS does not store secrets); environment variables updated by a pipeline (manual, exposed); IAM DB authentication (valid alternative in some stems, but not 'rotate the password')",1,P0,new,,,B2.2 P0 新卡
aws-encrypt-direct-connect-traffic-mcq-31,mcq,D1,1.2,AWS Direct Connect,"S: securing external network connections (VPN, Direct Connect)",Regulator requires encryption of all traffic on the Direct Connect link - most secure,Correct: IPsec Site-to-Site VPN over a Direct Connect public VIF (or MACsec on a dedicated 10/100 Gbps connection). A private VIF alone is isolated but not encrypted; application TLS covers only some flows.,most-secure,"use a private VIF (isolation, no encryption); rely on TLS in applications (does not cover all protocols); Client VPN (for users, not sites); PrivateLink over DX (private path, not link encryption)",2,P1,new,,,B4.1 P1 新卡
aws-firewall-manager-enforce-waf-org-mcq-30,mcq,D1,1.2,AWS Firewall Manager,"S: integrating AWS services to secure applications (Shield, WAF, Identity Center, Secrets Manager)","Same web ACL on every ALB in 40 accounts, including future ALBs - least ops",Correct: Firewall Manager WAF policy from the delegated admin account (requires Organizations and Config); it auto-associates the web ACL with in-scope resources as they appear.,least-ops,"CloudFormation StackSets deploying web ACLs (does not associate future ALBs); SCP requiring WAF (SCPs cannot enforce associations); Security Hub control (detective); Config rule with remediation per account (works but per-account setup, more ops)",2,P1,new,,,B4.1 P1 新卡
aws-isolation-account-vs-vpc-vs-subnet-mcq-24,mcq,D1,1.2,AWS Organizations,S: network segmentation strategies (public and private subnets),"Prod and dev must have separate blast radius, billing and guardrails - what boundary","Correct: separate AWS accounts under Organizations (SCPs, billing, IAM boundary), with VPCs per account; subnets and security groups only segment networks, not identities or bills.",most-secure,separate subnets in one VPC (network only); separate security groups (host only); separate Regions in one account (same IAM/billing boundary); tag-based ABAC in one account (does not bound blast radius or bills),2,P1,new,,,B4.1 P1 新卡
aws-nacl-ephemeral-ports-timeout-mcq-21,mcq,D1,1.2,Amazon VPC,"S: VPC architectures with security components (SG, route tables, NACLs, NAT)",Custom NACL allows 443 inbound but clients time out; SG is fine - fix,Correct: NACLs are stateless; add an outbound allow for ephemeral ports 1024-65535 (and inbound ephemeral for outbound-initiated flows). Security groups already handle return traffic statefully.,least-change,add an outbound rule to the security group (already stateful); add inbound port 80 (wrong direction/port); lower the rule number of the 443 rule (order is not the issue); change the route table (routing is fine),3,P1,new,,,B4.1 P1 新卡
aws-nat-gateway-per-az-mcq-20,mcq,D1,1.2,Amazon VPC,"S: VPC architectures with security components (SG, route tables, NACLs, NAT)",Three AZs share one NAT gateway; AZ outage cut egress - most available fix,Correct: one NAT gateway per AZ with a route table per private subnet pointing at its local NAT. Cross-AZ NAT also incurs data transfer charges.,most-available,"second NAT gateway in the same AZ (same failure domain); NAT instances in an ASG (more ops, still cross-AZ); attach the IGW route to private subnets (makes them public); replace with interface endpoints for everything (only covers AWS services)",2,P0,new,,"overlaps aws-single-nat-gateway-spof-mcq-31: write it from a different angle/scenario (Identical stem (one NAT in one AZ, AZ outage cuts egress), identical a)",B2.1 P0 新卡
aws-private-egress-to-s3-dynamodb-mcq-22,mcq,D1,1.2,Amazon VPC,"S: VPC architectures with security components (SG, route tables, NACLs, NAT)","Private instances need only S3 and DynamoDB, no internet - least cost","Correct: gateway VPC endpoints for S3 and DynamoDB (free, route-table entries). NAT gateway and interface endpoints both cost hourly plus per GB.",least-cost,"NAT gateway (hourly + per-GB); interface endpoints for S3 and DynamoDB (works, but hourly per AZ); IGW with public IPs (violates no-internet); Transit Gateway to a shared egress VPC (heavy and paid)",2,P0,new,,moved: A least-cost qualifier in the security domain duplicates aws-d4-transfer-cost-ro,B2.1 P0 新卡
aws-rds-publicly-accessible-fix-mcq-23,mcq,D1,1.2,Amazon RDS,S: network segmentation strategies (public and private subnets),RDS instance is publicly accessible and reachable from the internet - most secure fix,"Correct: place it in a DB subnet group of private/isolated subnets, set Publicly Accessible = No, and restrict the SG to the app tier SG. Encryption, IAM auth and WAF do not remove network exposure.",most-secure,"keep public but add a NACL deny for 0.0.0.0/0 on 3306 (still public, brittle); enable encryption at rest (does not affect reachability); enable IAM DB authentication (auth, not exposure); put WAF in front (WAF cannot front RDS)",1,P0,new,,,B2.1 P0 新卡
aws-s3-lock-to-vpc-endpoint-mcq-14,mcq,D1,1.2,Amazon S3,S: appropriate use of resource policies,Instances reach only company buckets; buckets accept only VPC traffic,Correct: gateway endpoint policy restricting Resource to the company bucket ARNs plus a bucket policy Deny with Condition StringNotEquals aws:sourceVpce. Gateway endpoints have no security group; instances have no NAT so aws:SourceIp is wrong.,most-secure,security group on the gateway endpoint (does not exist); bucket policy on aws:SourceIp of the NAT gateway (no NAT in design; public IP based); IAM policy on the instance role alone (does not stop other principals); NACL allowing only S3 IP ranges (does not scope buckets),3,P1,new,,moved: The decision is gateway-endpoint policy plus aws:sourceVpce; the exam guide list,B4.1 P1 新卡
aws-shield-advanced-justification-mcq-27,mcq,D1,1.2,AWS Shield,"S: integrating AWS services to secure applications (Shield, WAF, Identity Center, Secrets Manager)","Need DDoS cost protection, 24/7 response team and L7 visibility - which tier","Correct: Shield Advanced (subscription, includes WAF costs for protected resources, SRT, cost credits for scaling during attacks). Shield Standard gives none of those; WAF alone gives L7 rules only.",most-secure,"Shield Standard (no SRT/cost protection); WAF only (no DDoS cost credits); GuardDuty (detection, not mitigation); Firewall Manager alone (deploys policies; still needs Shield Advanced)",2,P1,new,,,B4.1 P1 新卡
aws-three-tier-security-group-chain-mcq-19,mcq,D1,1.2,Amazon VPC,"S: VPC architectures with security components (SG, route tables, NACLs, NAT)",Web/app/DB tiers behind an ALB - most secure security-group design,"Correct: ALB SG allows 443 from 0.0.0.0/0; web SG allows 80/443 only from the ALB SG; DB SG allows 3306 only from the app SG; SG-to-SG references, no CIDRs, no 0.0.0.0/0 on the DB.",most-secure,"DB SG allows 3306 from the VPC CIDR (wider than needed); one SG for all tiers allowing all internal traffic (no segmentation); NACL-only design (stateless, no resource references); DB SG allows app subnet CIDR (breaks when tiers scale or move)",2,P0,new,,,B2.1 P0 新卡
aws-vpn-customer-gateway-redundancy-mcq-32,mcq,D1,1.2,AWS Site-to-Site VPN,"S: securing external network connections (VPN, Direct Connect)",Customer-gateway failure took the VPN site offline - most available design,Correct: second customer gateway device with its own Site-to-Site VPN connection (each already has two tunnels to two AWS endpoints); or DX with VPN backup. A second VGW is not possible per VPC.,most-available,"add a second tunnel to the existing connection (already has two; same CGW); attach a second virtual private gateway (one per VPC); Accelerated VPN (performance, not CGW redundancy); Client VPN as backup (users, not site)",2,P1,new,,,B4.1 P1 新卡
