uid,kind,domain,topic,difficulty,fragment,position,order_in_deck,source_url,fact_checked,verified_at,checked_by,changes
ccdvf-agent-memory-patterns,concept,D1,D1 Agents & workflows,d1,D1.md,10,100,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents ; https://platform.claude.com/docs/en/agents-and-tools/tool-use/memory-tool ; https://code.claude.com/docs/en/sub-agents,"Structured note-taking persisted outside the context window (Pokemon example, multi-hour); memory tool type memory_20250818, commands view/create/str_replace/insert/delete/rename under /memories, client-side execution; injected protocol 'ASSUME INTERRUPTION'; Claude Code subagent memory scopes user/project/local",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-context-window-management-in-loop,concept,D1,D1 Agents & workflows,d2,D1.md,11,110,https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents ; https://code.claude.com/docs/en/agent-sdk/agent-loop,"'context rot'; smallest possible set of high-signal tokens; compaction (tool result clearing as lightest form), structured note-taking, sub-agent architectures returning condensed summaries of 1,000-2,000 tokens after tens of thousands; SDK context does not reset between turns; automatic compaction emits system message subtype compact_boundary",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-agentic-frameworks-tradeoff,concept,D1,D1 Agents & workflows,d1,D1.md,12,120,"https://www.anthropic.com/engineering/building-effective-agents ; official exam guide v1.0 Domain 1 (Strands, LangGraph, PydanticAI named as frameworks)","Frameworks 'create extra layers of abstraction that can obscure the underlying prompts and responses, making them harder to debug'; 'tempting to add complexity when a simpler setup would suffice'; 'start by using LLM APIs directly: many patterns can be implemented in a few lines of code'; 'ensure you understand the underlying code'; incorrect assumptions about what's under the hood are a common source of customer error",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),none for the card. Ledger row repaired: source_url held an unquoted comma and split into extra columns; now quoted
ccdvf-subagent-fresh-context,feature,D1,D1 Agents & workflows,d1,D1.md,13,130,https://code.claude.com/docs/en/agent-sdk/subagents,"What subagents inherit table: receives own system prompt (AgentDefinition.prompt) + Agent tool prompt, project CLAUDE.md via settingSources unless omitClaudeMd, tool definitions; does not receive parent conversation history/tool results, parent system prompt, preloaded skills unless listed; only content passed is the Agent tool's prompt string; parent receives the final message as the Agent tool result; forks inherit parent conversation",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-managed-agents-four-concepts,feature,D1,D1 Agents & workflows,d2,D1.md,14,140,https://platform.claude.com/docs/en/managed-agents/overview ; https://platform.claude.com/docs/en/managed-agents/agent-setup ; https://platform.claude.com/docs/en/managed-agents/sessions,Four concepts Agent/Environment/Session/Events with definitions; how-it-works steps create agent -> create environment -> start session -> send events and stream SSE -> steer or interrupt; beta header managed-agents-2026-04-01 set automatically by SDK; not eligible for ZDR or HIPAA BAA; event history persisted server-side; agent-setup: 'version starts at 1 and increments each time an update changes the agent'; sessions: overrides 'do not modify the agent resource or create a new agent version',2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"USAGE rewritten: agents are versioned (agent-setup: version starts at 1, increments on update) but a session may pass agent_with_overrides to change model/system/tools for that session without creating a version (sessions page 'Override agent configuration for a session'); old line said changing them always means a new version"
ccdvf-agent-sdk-max-turns-budget,feature,D1,D1 Agents & workflows,d2,D1.md,15,150,https://code.claude.com/docs/en/agent-sdk/agent-loop,"max_turns/maxTurns counts tool-use turns only, default no limit; max_budget_usd/maxBudgetUsd default no limit, covers subagent spend; result subtypes success/error_max_turns/error_max_budget_usd/error_during_execution/error_max_structured_output_retries; result field only on success; all subtypes carry total_cost_usd, usage, num_turns, session_id; single-shot query() raises after yielding an error result",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-agent-sdk-sessions-resume-fork,feature,D1,D1 Agents & workflows,d2,D1.md,16,160,https://code.claude.com/docs/en/agent-sdk/sessions,"Session = conversation history written to disk automatically; continue_conversation=True / continue: true resumes most recent session in cwd; resume=<session_id>; fork_session=True / forkSession creates new session from a copy of history, original unchanged; session_id present on every ResultMessage incl. errors; sessions persist the conversation not the filesystem; storage ~/.claude/projects/<encoded-cwd>/*.jsonl",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-agent-sdk-pretooluse-hook-shape,feature,D1,D1 Agents & workflows,d2,D1.md,17,170,https://code.claude.com/docs/en/agent-sdk/hooks,"hooks option: event -> [HookMatcher(matcher, hooks=[callback])]; matcher 'Write|Edit', '^mcp__', omitted = every event; callback args (input_data, tool_use_id, context); return hookSpecificOutput with permissionDecision allow/deny/ask/defer, permissionDecisionReason, updatedInput; {} = allow; parallel execution, most restrictive wins (deny > defer > ask > allow); hooks run in your process and do not consume context; updatedInput must be inside hookSpecificOutput",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-tool-runner-sdk-loop,feature,D1,D1 Agents & workflows,d1,D1.md,18,180,https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-runner,"Tool runner beta in Python, TypeScript, C#, Go, Java, PHP, Ruby SDKs (seven); @beta_tool decorator; client.beta.messages.tool_runner; runner.until_done(); loops until message without tool use or max_iterations; exceptions returned as tool_result is_error true; manual loop for human-in-the-loop approval, custom logging, conditional execution",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-managed-agents-coordinator-roster,feature,D1,D1 Agents & workflows,d2,D1.md,19,190,https://platform.claude.com/docs/en/managed-agents/multiagent-orchestration,"multiagent {type: 'coordinator', agents: [...]}; entries {type:'agent', id[, version]} pinned to latest at creation if no version, {type:'self'}, {type:'advisor', model} at most one; each agent in its own session thread with isolated context; all share sandbox, filesystem, vault credentials; one level of delegation only (roster agent with own roster fails validation); max 20 unique agents; 25-thread limit, archiving frees a slot; threads persistent",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),'25-thread limit' -> '25-concurrent-thread limit' (doc: 'A maximum of 25 concurrent threads is supported'; archiving 'frees up a thread against the 25-thread limit')
ccdvf-workflow-vs-agent-decision,pattern,D1,D1 Agents & workflows,d2,D1.md,20,200,https://www.anthropic.com/engineering/building-effective-agents,"'finding the simplest solution possible, and only increasing complexity when needed' / 'might mean not building agentic systems at all'; agents for open-ended problems where it's difficult or impossible to predict the required number of steps and you can't hardcode a fixed path; autonomy means higher costs and potential for compounding errors; extensive testing in sandboxed environments with guardrails",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-agent-sdk-vs-client-sdk-vs-managed,pattern,D1,D1 Agents & workflows,d2,D1.md,21,210,https://code.claude.com/docs/en/agent-sdk/overview ; https://platform.claude.com/docs/en/managed-agents/overview,"Comparison table: Agent SDK = library that runs the agent loop for you (Python/TypeScript); Client SDK = direct API access, you implement the tool loop; Managed Agents = hosted REST API, separate product, Anthropic runs the agent and the sandbox, for long-running/asynchronous agents without managing sandbox or session infrastructure; Messages API 'custom agent loops and fine-grained control' vs Managed Agents 'long-running tasks and asynchronous work'",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-tool-runner-vs-manual-loop,pattern,D1,D1 Agents & workflows,d2,D1.md,22,220,https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-runner,"'When you need human-in-the-loop approval, custom logging, or conditional execution, use the manual loop instead'; generate_tool_call_response() / generateToolResponse() intercept (Python and TypeScript only); taking over message history requires appending assistant message + tool result yourself and passing max_iterations; max_iterations supported in all seven SDKs",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"Explanation tightened: generate_tool_call_response is Python/TypeScript only, but taking over message history is available in every runner; when you do, append the assistant message and tool results yourself and pass max_iterations ('All seven SDKs support max_iterations')"
ccdvf-prompt-chaining-vs-routing,pattern,D1,D1 Agents & workflows,d2,D1.md,23,230,https://www.anthropic.com/engineering/building-effective-agents,"Prompt chaining: sequential steps, programmatic checks ('gate'), trade latency for accuracy; examples marketing copy then translate, outline -> check criteria -> write; routing: classifies input and directs to specialized followup task, separation of concerns; examples customer service query types, easy/common questions to smaller cost-efficient models and hard/unusual to more capable models",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-parallel-sectioning-vs-voting,pattern,D1,D1 Agents & workflows,d2,D1.md,24,240,https://www.anthropic.com/engineering/building-effective-agents,Sectioning: 'Breaking a task into independent subtasks run in parallel'; voting: 'Running the same task multiple times to get diverse outputs'; sectioning example: one model instance processes user queries while another screens them for inappropriate content; voting example: several different prompts review code for vulnerabilities and flag if they find a problem; outputs aggregated programmatically,2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-orchestrator-vs-parallelization,pattern,D1,D1 Agents & workflows,d2,D1.md,25,250,https://www.anthropic.com/engineering/building-effective-agents,"Key difference from parallelization: in orchestrator-workers the subtasks aren't pre-defined but determined by the orchestrator based on the input; parallelization runs predefined independent subtasks; orchestrator examples: multi-file coding changes, multi-source search",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-evaluator-optimizer-when,pattern,D1,D1 Agents & workflows,d2,D1.md,26,260,https://www.anthropic.com/engineering/building-effective-agents,"Evaluator-optimizer: one LLM generates while another provides evaluation and feedback in a loop; effective 'when we have clear evaluation criteria, and when iterative refinement provides measurable value'; fit indicators: human feedback would demonstrably improve responses and the LLM can provide such feedback; examples literary translation, complex search where evaluator decides whether further searches are warranted",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),Added the second fit sign from the post: 'the LLM can provide such feedback'
ccdvf-self-hosted-vs-cloud-sandbox,pattern,D1,D1 Agents & workflows,d2,D1.md,27,270,https://platform.claude.com/docs/en/managed-agents/self-hosted-sandboxes,"Fit: data that cannot leave your network boundary, internal services not publicly routable, own compliance and audit controls; environment config type self_hosted; workers: ant CLI (ant beta:worker poll), Python/TypeScript/Go SDK EnvironmentWorker; file and github_repository resources rejected with 400 on self-hosted (pass references via session metadata); memory stores require SDK worker (CLI worker does not mount them); graceful shutdown (SIGTERM/SIGINT) to upload changed memory files; events and session semantics identical",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"'sessions and events behave identically' -> sessions, events and memory stores created/attached the same way as on cloud (doc: memory stores attach 'exactly as sessions on cloud environments do'); 'changed files upload' -> 'changed memory files upload' (doc: SIGTERM/SIGINT lets the worker 'upload changed memory files'); metadata workaround example 'such as an S3 path' added (doc: 'pass file references (such as an S3 path or commit SHA) in the session metadata field')"
ccdvf-guardrail-hook-vs-prompt-vs-rule,pattern,D1,D1 Agents & workflows,d3,D1.md,28,280,https://code.claude.com/docs/en/agent-sdk/permissions ; https://code.claude.com/docs/en/agent-sdk/hooks,"Evaluation order: hooks -> deny rules -> ask rules -> permission mode -> allow rules -> canUseTool; hook deny applies even in the most permissive mode; deny rule Bash(rm *) denied in every permission mode; 'Auto-approved tools never reach canUseTool'; 'For checks that must run on every tool call, use a PreToolUse hook'; hooks can return updatedInput",2026-09-21,claude-opus-5 independent fact-check 2026-09-21 (all source_url pages re-read raw; official-ccdvf.txt §8 compared),"none (every claim, number, default, key sequence, star count and qualifier verified against source_url on 2026-09-21)"
ccdvf-messages-api-stateless,concept,D2,D2 Applications & integration,d1,D2a.md,29,290,https://platform.claude.com/docs/en/build-with-claude/working-with-messages ; https://platform.claude.com/docs/en/api/messages,"Messages API is stateless, full history resent each call, synthetic assistant turns allowed; no system role in input messages, system is top-level parameter; role system inside messages only on Opus 5/4.8/Fable models, after a user turn, never first",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-message-content-blocks,concept,D2,D2 Applications & integration,d1,D2a.md,30,300,https://platform.claude.com/docs/en/api/messages,"content is string or array of blocks, string = shorthand for one text block; consecutive same-role turns combined into one turn; limit 100,000 messages per request; images before text (vision guide)",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-usage-input-token-fields,concept,D2,D2 Applications & integration,d2,D2a.md,31,310,https://platform.claude.com/docs/en/build-with-claude/prompt-caching ; https://platform.claude.com/docs/en/api/messages ; https://platform.claude.com/docs/en/api/rate-limits,"input_tokens = tokens after last cache breakpoint; total = cache_read_input_tokens + cache_creation_input_tokens + input_tokens; cache_creation splits ephemeral_5m_input_tokens / ephemeral_1h_input_tokens; both cache fields 0 => not cached (likely below minimum length); all three count toward context window and rate limits (context-windows page); rate limits: cache_read_input_tokens do NOT count toward ITPM for most models (rate-limits page, Cache-aware ITPM), only input_tokens + cache_creation_input_tokens count",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)","A: corrected rate-limit claim: all three fields occupy the context window, but only input_tokens + cache_creation_input_tokens count toward ITPM on most models (cache reads do not; Haiku 3.5 is the exception). Source added: api/rate-limits (Cache-aware ITPM)."
ccdvf-streaming-when-required,concept,D2,D2 Applications & integration,d1,D2a.md,32,320,https://platform.claude.com/docs/en/build-with-claude/thinking ; https://platform.claude.com/docs/en/build-with-claude/streaming ; https://platform.claude.com/docs/en/api/errors,"SDKs require streaming when max_tokens > 21,333 (client-side validation, not API); 504 timeout_error suggests streaming for long requests; stream() + get_final_message()/finalMessage() returns same Message as create()",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-input-json-delta-accumulation,concept,D2,D2 Applications & integration,d2,D2a.md,33,330,https://platform.claude.com/docs/en/build-with-claude/streaming ; https://platform.claude.com/docs/en/agents-and-tools/tool-use/fine-grained-tool-streaming,"content_block_start for tool_use carries input {} placeholder; input_json_delta carries partial_json string fragments; concatenate per index, parse on content_block_stop; final input is object, deltas are strings; models emit one complete key/value at a time so delays are normal",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-tool-use-block-anatomy,concept,D2,D2 Applications & integration,d1,D2a.md,34,340,https://platform.claude.com/docs/en/agents-and-tools/tool-use/handle-tool-calls,tool_use fields id/name/input; reply is user message with tool_result keyed by tool_use_id; content optional: string or blocks of type text/image/document/search_result; empty tool_result allowed; is_error true for failures; server tools need no tool_result,2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-image-source-types,concept,D2,D2 Applications & integration,d1,D2a.md,35,350,https://platform.claude.com/docs/en/build-with-claude/vision ; https://platform.claude.com/docs/en/build-with-claude/working-with-messages,"three image sources base64/url/file(file_id); formats image/jpeg, image/png, image/gif, image/webp; animations unsupported, first frame used; Claude receives no image metadata; Bedrock and Google Cloud base64 only",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-image-token-cost-patches,concept,D2,D2 Applications & integration,d2,D2a.md,36,360,https://platform.claude.com/docs/en/build-with-claude/vision,"28x28 pixel patches, cost = ceil(w/28) x ceil(h/28) visual tokens; standard tier max long edge 1568 px / 1568 visual tokens; high-resolution tier (Claude 4.7 and later) 2576 px / 4784 visual tokens, up to roughly 3x more tokens; downscale preserves aspect ratio",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-pdf-processing-model,concept,D2,D2 Applications & integration,d1,D2a.md,37,370,https://platform.claude.com/docs/en/build-with-claude/pdf-support,"each page converted to image plus extracted text; text tokens typically 1,500-3,000 per page; image token cost per vision rules; no additional PDF fee; place PDFs before text; use token counting to estimate; split large PDFs",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-thinking-blocks-and-signature,concept,D2,D2 Applications & integration,d1,D2a.md,38,380,https://platform.claude.com/docs/en/build-with-claude/thinking,"signature holds encrypted full thinking, verifies block was generated by Claude; display summarized vs omitted (empty thinking field); omitted default on Opus 5 etc; billed same either way; pass block back unchanged; signature opaque",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-redacted-thinking-block,concept,D2,D2 Applications & integration,d2,D2a.md,39,390,https://platform.claude.com/docs/en/build-with-claude/thinking ; https://platform.claude.com/docs/en/build-with-claude/thinking-troubleshooting,redacted_thinking block with encrypted data field; must be passed back unchanged; consecutive thinking sequence in latest assistant message cannot be rearranged/edited/partially dropped; filtering on block.type == thinking drops redacted blocks and breaks protocol; 400 error message: thinking or redacted_thinking blocks in the latest assistant message cannot be modified; distinct from display omitted,2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-cache-control-breakpoint-semantics,concept,D2,D2 Applications & integration,d1,D2a.md,40,400,https://platform.claude.com/docs/en/build-with-claude/prompt-caching ; https://platform.claude.com/docs/en/api/messages,"cache_control writes exactly one entry, cumulative hash of prefix up to the block; ephemeral only supported type; ttl 5m default or 1h; up to 4 breakpoints; automatic top-level breakpoint uses one of the 4 slots; breakpoints free, pay writes/reads/uncached; thinking blocks, empty text blocks, sub-content (citations) cannot be cached directly; order tools -> system -> messages",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-cache-lookback-window,concept,D2,D2 Applications & integration,d2,D2a.md,41,410,https://platform.claude.com/docs/en/build-with-claude/prompt-caching,"lookback window 20 positions per breakpoint counting breakpoint as first; worked example turn 1 = 10 blocks, turn 2 = 15, turn 3 = 35 checks blocks 35-16 and misses entry at 15; writes only at breakpoints; second breakpoint fix; consecutive tool_use blocks count as one position, consecutive tool_result blocks likewise",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
