uid,kind,source_url,fact_checked,verified_at,checked_by,changes
ccdvf-redacted-thinking-block,concept,https://platform.claude.com/docs/en/build-with-claude/thinking ; https://platform.claude.com/docs/en/build-with-claude/thinking-troubleshooting,redacted_thinking block with encrypted data field; must be passed back unchanged; consecutive thinking sequence in latest assistant message cannot be rearranged/edited/partially dropped; filtering on block.type == thinking drops redacted blocks and breaks protocol; 400 error message: thinking or redacted_thinking blocks in the latest assistant message cannot be modified; distinct from display omitted,2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-cache-control-breakpoint-semantics,concept,https://platform.claude.com/docs/en/build-with-claude/prompt-caching ; https://platform.claude.com/docs/en/api/messages,"cache_control writes exactly one entry, cumulative hash of prefix up to the block; ephemeral only supported type; ttl 5m default or 1h; up to 4 breakpoints; automatic top-level breakpoint uses one of the 4 slots; breakpoints free, pay writes/reads/uncached; thinking blocks, empty text blocks, sub-content (citations) cannot be cached directly; order tools -> system -> messages",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-cache-lookback-window,concept,https://platform.claude.com/docs/en/build-with-claude/prompt-caching,"lookback window 20 positions per breakpoint counting breakpoint as first; worked example turn 1 = 10 blocks, turn 2 = 15, turn 3 = 35 checks blocks 35-16 and misses entry at 15; writes only at breakpoints; second breakpoint fix; consecutive tool_use blocks count as one position, consecutive tool_result blocks likewise",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-context-window-accounting,concept,https://platform.claude.com/docs/en/build-with-claude/context-windows,"everything counts: system prompt, messages incl tool results/images/documents, tool definitions, output incl thinking; cached prefixes still occupy window, input_tokens + cache_read + cache_creation all count; input alone > window => 400 invalid_request_error prompt is too long; Claude 4.5+ input + max_tokens > window accepted, stops with model_context_window_exceeded",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-sampling-params-removed,concept,https://platform.claude.com/docs/en/api/messages ; https://platform.claude.com/docs/en/build-with-claude/working-with-messages ; https://platform.claude.com/docs/en/build-with-claude/thinking,"temperature deprecated, models released after Opus 4.6 accept only 1.0 else 400; top_p only >= 0.99 else 400; top_k any value 400; Claude 4.7+ non-default sampling params 400 regardless of thinking; older models restriction only while thinking on",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-streaming-event-order,feature,https://platform.claude.com/docs/en/build-with-claude/streaming ; https://platform.claude.com/docs/en/build-with-claude/handling-stop-reasons,"event flow message_start (empty content, stop_reason null) -> content_block_start/delta/stop per block with index -> one or more message_delta (usage cumulative) -> message_stop; ping events any time; error events after HTTP 200 e.g. overloaded_error (529 equivalent); handle unknown event types gracefully; stop_reason null in message_start, provided in message_delta",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-tool-result-first-rule,feature,https://platform.claude.com/docs/en/agents-and-tools/tool-use/handle-tool-calls ; https://platform.claude.com/docs/en/build-with-claude/handling-stop-reasons,"tool_result message must immediately follow the assistant tool_use message; tool_result blocks must come FIRST in user content, text after; 400 error tool_use ids were found without tool_result blocks immediately after; if server tool pending, user message must contain only tool_result blocks and keep same tools array, else 400 naming unresolved server tool",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-automatic-caching-top-level,feature,https://platform.claude.com/docs/en/build-with-claude/prompt-caching,"top-level cache_control applies breakpoint to last cacheable block and moves forward each turn; uses one of 4 slots; same minimums, ordering, 20-block lookback; 400 if last block has explicit cache_control with different TTL; 400 if 4 explicit breakpoints exist; walks backwards if last block ineligible; legacy Amazon Bedrock (Opus 4.6 and earlier) returns 400 for top-level cache_control",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-cache-prewarm-max-tokens-zero,feature,https://platform.claude.com/docs/en/build-with-claude/prompt-caching ; https://platform.claude.com/docs/en/api/messages,"max_tokens 0 pre-warm: empty content, stop_reason max_tokens, populated usage; zero output tokens billed, cache write billed if prefix not cached; breakpoint on shared prefix not placeholder; use same thinking/effort config; rejected with stream true, thinking type enabled, output_config.format, tool_choice tool/any; rejected inside Message Batches; replaces max_tokens 1 workaround",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-image-request-limits,feature,https://platform.claude.com/docs/en/build-with-claude/vision ; https://platform.claude.com/docs/en/api/overview,"600 images per API request (100 for 200k-context models); 20 per message on claude.ai; max 8000x8000 px; 10 MB base64 per image on Claude API, 5 MB on Bedrock/Google Cloud; >20 image blocks (incl earlier turns and tool_result screenshots) => stricter limit, keep dimensions <= 2000 px or <= 20 image+document blocks; invalid_request_error mentioning many-image requests; 32 MB request size limit",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-pdf-request-limits,feature,https://platform.claude.com/docs/en/build-with-claude/pdf-support,document sources url / base64 (application/pdf) / file (file_id); max request size 32 MB; max 600 pages per request (100 when context window under 1M); standard PDF no passwords/encryption; limits on entire payload; Bedrock and Google Cloud base64 only; all active models support PDF; cache_control on document block example,2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-files-api-lifecycle,feature,https://platform.claude.com/docs/en/build-with-claude/files,"files accessible to entire workspace not scoped to end user; never accept file_id from untrusted sources; workspace per tenant, up to 100 workspaces per organization; 500 MB per file; 1 TB per organization; expires_in_seconds 3,600 to 7,776,000; uploads downloadable false, only skills/code execution outputs downloadable; files persist until deleted or expires_at",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-thinking-display-modes,feature,https://platform.claude.com/docs/en/build-with-claude/thinking,"display summarized default on Opus 4.6, Sonnet 4.6 and earlier; omitted default on Fable 5.1, Fable 5, Opus 5, Sonnet 5, Opus 4.8, Opus 4.7; updates beta header thinking-display-updates-2026-08-18 returns progress updates between tool calls; omitted = faster time-to-first-text-token, full thinking tokens still billed; signature identical across display values; switching display between turns supported; display invalid with type disabled",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-thinking-tokens-usage-field,feature,https://platform.claude.com/docs/en/build-with-claude/extended-thinking ; https://platform.claude.com/docs/en/api/messages ; https://platform.claude.com/docs/en/build-with-claude/context-windows,"usage.output_tokens_details.thinking_tokens = billed output tokens spent on reasoning, from raw reasoning not summary, always <= output_tokens; when streaming appears only on final message_delta; thinking tokens billed as output, count toward max_tokens and rate limits; effort is soft guidance, max_tokens strict limit",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-server-tool-auto-cache-breakpoint,feature,https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-use-with-prompt-caching ; https://platform.claude.com/docs/en/build-with-claude/prompt-caching,"automatic cache breakpoint placed on server tool result (web search, web fetch, code execution) before next loop iteration; only when request already has at least one cache_control marker; always default 5-minute TTL regardless of your TTL; shows as cache_creation.ephemeral_5m_input_tokens; prompt-caching page cross-references this for unexpected 5m writes",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-request-size-limits,feature,https://platform.claude.com/docs/en/api/overview ; https://platform.claude.com/docs/en/api/errors,"Messages and Token Counting 32 MB; Message Batches 256 MB; Files API 500 MB; 413 request_too_large; on direct API Cloudflare returns 413 before request reaches API servers; Bedrock 20 MB, Google Cloud 30 MB, Claude Platform on AWS same as direct API",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-prompt-cache-prefix-hierarchy,pattern,https://platform.claude.com/docs/en/build-with-claude/prompt-caching ; https://platform.claude.com/docs/en/agents-and-tools/tool-use/tool-use-with-prompt-caching,"hierarchy tools -> system -> messages, change invalidates that level and all after; tool definition change invalidates entire cache; web search / citations toggle invalidates system + messages; tool_choice, disable_parallel_tool_use, images invalidate messages only; thinking parameters and effort invalidate messages always, tools/system model-specific; cache_control on last tool caches all tools",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-cache-breakpoint-on-static-not-varying,pattern,https://platform.claude.com/docs/en/build-with-claude/prompt-caching,"common mistake: breakpoint on block with timestamp + user message => write every request, never a read; lookback finds only prior writes, not stable content; move cache_control to last stable block; automatic caching hits same trap (breakpoint on last block); verify with cache_read_input_tokens",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-thinking-block-preservation-by-model,pattern,https://platform.claude.com/docs/en/build-with-claude/thinking ; https://platform.claude.com/docs/en/build-with-claude/context-windows,"keep all prior turns: Opus 4.5 and later Opus, Sonnet 4.6 and later, Fable/Mythos models; keep last turn only: earlier Opus/Sonnet and all Haiku through 4.5, API strips older blocks automatically (unbilled); preserved blocks enable cache hits, count as input and context; block readable only by producing model or newer, switching down drops it; override with clear_thinking_20251015 context editing",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-parallel-tool-results-single-message,pattern,https://platform.claude.com/docs/en/agents-and-tools/tool-use/parallel-tool-use ; https://platform.claude.com/docs/en/agents-and-tools/tool-use/handle-tool-calls,"return one tool_result per tool_use, all in a single user message, matched by tool_use_id, results before any text; API does not prescribe execution order (concurrent or sequential); separate user message per result teaches Claude to avoid parallel calls; skipped calls still get tool_result with is_error true and brief explanation",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-thinking-replay-in-tool-loop,pattern,https://platform.claude.com/docs/en/build-with-claude/thinking,"tool-use loop is one assistant turn, single thinking mode per turn; mid-turn toggle does not error, API silently disables thinking for that request and may strip blocks; toggling invalidates prompt cache; within tool-use turn thinking blocks required, passed back complete and unmodified; toggle between turns; API filters prior-turn thinking automatically and bills only blocks shown",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-stream-interruption-recovery,pattern,https://platform.claude.com/docs/en/build-with-claude/streaming ; https://platform.claude.com/docs/en/build-with-claude/working-with-messages,"Claude 4.6+ recovery: user message containing partial response plus instruction to continue (sample prompt wording); 4.5 and earlier used partial assistant message; prefill returns 400 on 4.6 and later; tool_use and thinking blocks cannot be partially recovered, resume from most recent text block; use SDK accumulation",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-eager-input-streaming-guarded-parse,pattern,https://platform.claude.com/docs/en/agents-and-tools/tool-use/fine-grained-tool-streaming,"eager_input_streaming true per user-defined tool with streaming enabled; no server-side buffering or JSON validation; partial/invalid JSON possible, max_tokens can cut parameter; accumulate partial_json, guard parse; return tool_result is_error true with content JSON wrapper {INVALID_JSON: raw} built with JSON library; legacy header fine-grained-tool-streaming-2025-05-14 replaced by field; all models, Claude API/Bedrock/Vertex/Foundry",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-cache-miss-timestamp-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/prompt-caching,"timestamp in prefix changes hash => write every request, never read (common mistake section); Sonnet 5 minimum cacheable 1,024 tokens; below-minimum prompts skip caching silently with zero cache fields; 5-minute TTL refreshed on each use; breakpoints add no cost",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-streaming-usage-cumulative-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/streaming ; https://platform.claude.com/docs/en/build-with-claude/handling-stop-reasons,usage in message_delta is cumulative (Warning box); ping events carry no usage; message_start usage output_tokens placeholder (1) and stop_reason null; stop_reason provided in message_delta,2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-tool-result-400-mcq-01,mcq,https://platform.claude.com/docs/en/agents-and-tools/tool-use/handle-tool-calls ; https://platform.claude.com/docs/en/api/messages,"tool_result must immediately follow tool_use message, tool_result blocks first in content, text after; 400 tool_use ids were found without tool_result blocks immediately after; consecutive same-role messages combined into one turn; rule applies to all models; is_error semantics",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-empty-end-turn-after-tool-result-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/handling-stop-reasons,"empty responses (2-3 tokens, end_turn) caused by adding text blocks immediately after tool results; fix: send tool results alone; continuation prompt in new user message as last resort; max_tokens cutoff reports stop_reason max_tokens; interleaved thinking not required for chaining tool calls (thinking page)",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-pdf-page-limit-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/pdf-support ; https://platform.claude.com/docs/en/build-with-claude/context-windows,"600 pages per request, 100 when context window under 1M tokens; Haiku 4.5 200K context (models overview); limits apply to entire request regardless of source; max_tokens is output cap; dense PDFs can fill the context window before the page limit (pdf-support Tip); text 1,500-3,000 tokens/page + image tokens",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)","Correct option reworded to ""chunks that stay under the 600-page limit""; A: adds that a dense 600-page chunk (1,500-3,000 text tokens + image tokens per page) can overflow the 1M window with ""prompt is too long"", so chunks must be sized by tokens too (pdf-support Tip + context-windows)."
ccdvf-image-payload-growth-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/vision ; https://platform.claude.com/docs/en/api/overview ; https://platform.claude.com/docs/en/api/errors,multi-turn base64 images resent every turn increase payload; Files API file_id keeps payloads small; 32 MB Messages request size limit; 413 request_too_large; API stateless,2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-thinking-stream-signature-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/streaming ; https://platform.claude.com/docs/en/build-with-claude/thinking ; https://platform.claude.com/docs/en/build-with-claude/thinking-troubleshooting,"signature_delta sent just before content_block_stop, used to verify integrity; omitted display still returns signature; reassemble with SDK accumulators; 400 when signature truncated/altered/empty; modified thinking blocks rejected with 400",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-files-tenant-isolation-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/files,"uploaded files accessible to entire workspace, any key in workspace; never accept file_id from end users; keep mapping server-side; separate workspace per tenant as isolation boundary; up to 100 workspaces per organization",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-cache-lookback-second-breakpoint-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/prompt-caching,20-position lookback window; entries only written at breakpoints; add second breakpoint when a turn pushes breakpoint 20+ blocks past last write; automatic caching uses same lookback and single last-block breakpoint; TTL unrelated to lookback; consecutive tool_use/tool_result runs count as one position,2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-image-history-resend-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/vision,"Claude has access to every image from earlier turns, follow-ups need no re-attachment; each request resends full history (Files API tip); image tokens computed from dimensions regardless of source; images under 200 px degrade accuracy; file_id keeps payloads small (bytes)",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-conversation-memory-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/working-with-messages ; https://platform.claude.com/docs/en/api/messages,"Messages API stateless, always send full conversational history; metadata.user_id is opaque identifier Anthropic may use to detect abuse, max 512 chars; max_tokens is output cap",2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-parallel-tool-calls-stopped-mcq-01,mcq,https://platform.claude.com/docs/en/agents-and-tools/tool-use/parallel-tool-use,incorrect tool result formatting (separate user message per result) teaches Claude to avoid parallel calls; all results in single user message; parallel calls on by default for Claude 4 and later; disable_parallel_tool_use defaults false; prompting can increase parallelism but formatting is the primary cause,2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
ccdvf-server-tool-pending-mcq-01,mcq,https://platform.claude.com/docs/en/build-with-claude/handling-stop-reasons ; https://platform.claude.com/docs/en/agents-and-tools/tool-use/handle-tool-calls,mixed client + server tool call: response has server_tool_use with no result block; continuation user message must contain only tool_result blocks and keep same tools array; text after results ends turn => 400 naming unresolved server tool; removing tool => 400 ending with but no web_search tool was provided; pause_turn continuation (resend response) only when no client tool waiting; detect by matching ids,2026-09-21,"claude-opus-5 independent fact-check 2026-09-21 (every source_url re-fetched as markdown; numbers/defaults/error strings re-verified; MCQ single correct set, WHYs, key order, star count, qualifier-in-stem checked; no overlap with exam guide section 8 samples)",none (verified as written)
