uid,kind,status,source_url,fact_checked,verified_at,checked_by,changes
aws-elastic-beanstalk-deployment-policies,"concept+service (rows 40,48 merged)",partial,https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/Welcome.html | https://docs.aws.amazon.com/imagebuilder/latest/userguide/what-is-image-builder.html | https://docs.aws.amazon.com/autoscaling/ec2/userguide/asg-instance-refresh.html | https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/using-features.rolling-version-deploy.html,"Beanstalk platforms Go/Java/.NET/Node.js/PHP/Python/Ruby/Docker; provisions EC2, load balancing, health monitoring, scaling; no additional charge; Image Builder no cost beyond resources; instance refresh rolls a new launch template/AMI across an ASG with rollback",2026-09-21,check-B3b,"none; five policies, immutable separate ASG + terminate on failed health check, traffic splitting temporary ASG, platforms list, no additional charge re-verified"
aws-lambda-concurrency-reserved-provisioned,concept (row 41),partial,https://docs.aws.amazon.com/lambda/latest/dg/gettingstarted-limits.html | https://docs.aws.amazon.com/servicequotas/latest/userguide/intro.html | https://docs.aws.amazon.com/servicequotas/latest/userguide/organization-templates.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/elastic-ip-addresses-eip.html | https://docs.aws.amazon.com/lambda/latest/dg/configuration-concurrency.html,"1,000 concurrent executions default per Region; quotas apply per account or per Region (VPCs per Region example); quota request template auto-requests increases for new Organization accounts (up to 10 quotas, all-features org); Service Quotas notifications on utilisation; 5 EIPs per Region default",2026-09-21,check-B3b,"none; 1,000 default, reserved = lower and upper bound at no charge, provisioned billed, quotas per account or per Region, template auto-requests for new org accounts (10 quotas), 5 EIPs re-verified"
aws-cloudwatch-agent-custom-metrics,concept (row 42),partial,https://docs.aws.amazon.com/xray/latest/devguide/aws-xray.html | https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/metrics-collected-by-CloudWatch-agent.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-cloudwatch.html,"X-Ray collects request data incl. downstream AWS resources, microservices, databases; segments sent via daemon; trace map shows client/front-end/backend services to find bottlenecks and latency spikes; integrates with CloudWatch views",2026-09-21,check-B3b,"none; mem_used_percent / disk_used_percent in CWAgent namespace, EC2 5-minute default vs 1-minute detailed monitoring re-verified"
aws-dynamodb-global-tables,"pattern (row 43, difficulty set to d3 per row)",partial,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GlobalTables.html | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/globaltables-CoreConcepts.html | https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/resource-record-sets-values-alias.html | https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GlobalTables.html,"multi-active, every replica serves reads and writes; MREC default, Streams-based, last-writer-wins, ReplicationLatency metric; MRSC same-account only, no TTL, no transactions, Streams not used; Route 53 Evaluate Target Health on alias records for DNS failover",2026-09-21,check-B3b,"ledger: stray ALB target-groups URL replaced by Route 53 alias Evaluate Target Health page; MREC default, Streams replication, last-writer-wins, ReplicationLatency, MRSC same-account only / no TTL / no transactions re-verified"
aws-s3-durability-availability,pattern (row 44),partial,https://docs.aws.amazon.com/ebs/latest/userguide/ebs-volume-types.html | https://aws.amazon.com/efs/faq/ | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/Concepts.AuroraHighAvailability.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/storage-class-intro.html,"EBS gp2/gp3/io1/st1/sc1 99.8-99.9% durability (0.1-0.2% AFR); io2 Block Express 99.999%; EFS 11 nines, One Zone may lose data with the AZ; Aurora six storage copies across AZs; S3 class numbers retained from existing card",2026-09-21,check-B3b,"Q: rewritten from ""What is the difference..."" to a concrete scenario (only copy in One Zone-IA); S3 class availability 99.99/99.9/99.5, >=3 AZs, EBS 99.8-99.9 vs io2 Block Express 99.999, EFS 11 nines re-verified"
aws-rds-proxy,pattern (row 45),partial,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-proxy.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/rds-proxy-pinning.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/rds-proxy-endpoints.html | https://aws.amazon.com/rds/proxy/pricing/ | https://docs.aws.amazon.com/AmazonRDS/latest/APIReference/API_CreateDBInstance.html,"engines RDS MariaDB/MySQL/PostgreSQL/SQL Server + Aurora; proxy connects via IAM auth or Secrets Manager credentials; same VPC, not publicly accessible; cross-VPC endpoints same Region; Aurora reader endpoints; pinning on >16 KB statements, prepared statements, SET variables, temp tables, locks; priced per vCPU per hour (ACU for Aurora Serverless)",2026-09-21,check-B3b,"none; engines, IAM/Secrets Manager, not publicly accessible, pinning on >16 KB statements/prepared statements/SET/temp tables/locks, per vCPU-hour pricing (2 vCPU minimum) re-verified"
aws-s3-cross-region-replication,pattern (row 46),partial,https://docs.aws.amazon.com/AmazonS3/latest/userguide/replication.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZSingleStandby.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/Concepts.AuroraHighAvailability.html | https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/aurora-global-database.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/replication-what-is-isnot-replicated.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/replication-requirements.html,S3 replication asynchronous; RTC 99.99% within 15 minutes SLA; Batch Replication for existing objects; RDS Multi-AZ standby synchronous; Aurora synchronous to six storage nodes across AZs; Aurora Global async lag typically under a second,2026-09-21,check-B3b,"A: added ""delete markers are replicated only if you opt in"" (V2 rules do not replicate delete markers by default); versioning both sides, async, Batch Replication, RTC 99.99% in 15 min, owner override, version-ID deletes not replicated re-verified"
aws-eks-vs-ecs,service (row 47),partial,https://docs.aws.amazon.com/eks/latest/userguide/what-is-eks.html | https://docs.aws.amazon.com/eks/latest/userguide/eks-compute.html,"AWS manages control plane; compute options managed node groups, self-managed nodes, Fargate, EKS Auto Mode, Hybrid Nodes; EBS/EFS CSI drivers; service-account to IAM mapping for workloads; certified Kubernetes-conformant; per-cluster pricing",2026-09-21,check-B3b,"none; certified conformant, compute options (managed node groups, self-managed, Fargate, Auto Mode, Hybrid Nodes) re-verified"
aws-eventbridge-archive-replay,service (row 50),partial,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-rule-retry-policy.html | https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-rule-dlq.html | https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-archive.html,default retry 24 hours and up to 185 attempts with exponential backoff and jitter; DLQ is a standard SQS queue for undeliverable events; archive/replay facts retained from existing card,2026-09-21,check-B3b,"none; archive retention indefinite by default, replay-name field, out-of-order replay, 10-minute delay advice, 24 h / 185 attempts re-verified"
aws-ecs-fargate-vs-ec2-launch,service (row 51),partial,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/fargate-tasks-services.html | https://docs.aws.amazon.com/AmazonECS/latest/developerguide/fargate-task-storage.html,task sizes 0.25 vCPU/512 MiB up to 32 vCPU/244 GB (backlog's 16 vCPU/120 GB is stale); ephemeral storage 20 GiB default up to 200 GiB; Linux (x86/ARM) and Windows Server 2019/2022; gpu and privileged parameters invalid on Fargate,2026-09-21,check-B3b,"none; 0.25 vCPU/512 MiB to 32 vCPU/244 GB, 20 GiB default / 200 GiB max ephemeral, gpu and privileged invalid on Fargate, Windows 2019/2022 re-verified"
aws-rds-multi-az-cluster-vs-instance,service (row 53),partial,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZ.Failover.html | https://docs.aws.amazon.com/AmazonRDS/latest/APIReference/API_CreateDBInstance.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_CreateDBInstance.Settings.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/multi-az-db-clusters-concepts.html | https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/multi-az-db-clusters-concepts-failover.html,Multi-AZ instance failover typically 60-120 s; BackupRetentionPeriod 0-35 days; AllocatedStorage max 65536 GiB (64 TiB) for MySQL/MariaDB/PostgreSQL/Oracle/Db2 and 16384 GiB for SQL Server; engines incl. Db2; IAM DB auth for MySQL/PostgreSQL; storage autoscaling; cluster <35 s retained from existing card,2026-09-21,check-B3b,"none; semisynchronous with one reader ack, readers serve reads and are failover targets, typically under 35 s, instance 60-120 s, lower write latency, BackupRetentionPeriod 0-35 re-verified"
aws-ebs-volume-types,"mcq (row 54, HIGHEST performance)",partial,https://docs.aws.amazon.com/ebs/latest/userguide/ebs-volume-types.html | https://docs.aws.amazon.com/ebs/latest/userguide/general-purpose.html,"gp3 max 80,000 IOPS / 2,000 MiB/s (backlog's 16,000 gp3 ceiling is stale -> scenario raised to 120,000 IOPS), baseline 3,000 IOPS/125 MiB/s, no burst, single-digit ms latency; io2 Block Express 256,000 IOPS, 4,000 MiB/s, avg latency <500 microseconds, 99.999% durability; st1 500 IOPS / sc1 250 IOPS, no boot; gp2 3 IOPS/GiB max 16,000",2026-09-21,check-B3b,"none; gp3 80,000 IOPS / 2,000 MiB/s single-digit ms no burst, io2 Block Express 256,000 / 4,000 MiB/s <500 us 99.999%, st1 500 IOPS no boot re-verified"
aws-fsx-windows-vs-lustre-vs-ontap,"mcq (row 55, HIGHEST performance; §3 stem trimmed via MCQ rewrite)",partial,https://docs.aws.amazon.com/fsx/latest/LustreGuide/what-is.html | https://docs.aws.amazon.com/efs/latest/ug/performance.html,"Lustre sub-ms latency, up to multiple TBps throughput, millions of IOPS; POSIX Linux; S3 data repository presents objects as files, imports new objects; scratch (unreplicated) vs persistent; EFS Regional Elastic max read 20-60 GiBps",2026-09-21,check-B3b,"none; Lustre sub-ms, multiple TBps, millions of IOPS, S3 objects as files + new-object import, scratch unreplicated; EFS Elastic 20-60 GiBps, Max I/O previous generation higher latency re-verified"
aws-s3-performance-prefixes-multipart,"mcq (row 56, choose two)",partial,https://docs.aws.amazon.com/AmazonS3/latest/userguide/optimizing-performance.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/mpuoverview.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/upload-objects.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/qfacts.html,"at least 3,500 PUT/COPY/POST/DELETE and 5,500 GET/HEAD per second per partitioned prefix; no limit on prefixes; 503 Slow Down while scaling; Transfer Acceleration is for geographic distance; multipart recommended from 100 MB; single PUT 5 GB; multipart up to 50 TB; AbortIncompleteMultipartUpload lifecycle",2026-09-21,check-B3b,"Q: stem ""let the pipeline keep scaling"" -> ""stop the errors and speed up the large uploads without adding unnecessary resources"" so the extra-buckets distractor is unambiguously wrong; 3,500/5,500 per prefix, no prefix limit, 503 while scaling, Transfer Acceleration = distance, 100 MB multipart threshold re-verified"
aws-efs-performance-and-throughput-modes,"mcq (row 57, LEAST operational overhead)",partial,https://docs.aws.amazon.com/efs/latest/ug/performance.html | https://docs.aws.amazon.com/ebs/latest/userguide/ebs-volumes-multi.html | https://docs.aws.amazon.com/AmazonS3/latest/userguide/mountpoint.html,"General Purpose default lowest latency; Max I/O previous generation, higher latency, not with Elastic; Elastic recommended for spiky loads, billed per data moved; Provisioned billed for set level; Bursting 50 KiBps per GiB baseline; Multi-Attach io1/io2 up to 16 Nitro instances same AZ, cluster FS needed; Mountpoint cannot modify existing files, no locking, no symlinks",2026-09-21,check-B3b,"none; Elastic recommended for spiky/unforecastable, Max I/O not with Elastic, Multi-Attach 16 Nitro instances same AZ io1/io2, Mountpoint cannot modify existing files or lock re-verified"
